品类	商品名称	品牌	参考价格(元)	功能特点	规格参数	售后服务	来源
按摩椅	秉绪 头等太空沙发 单人沙发舱 电动功能躺 可按摩可睡觉 电竞沙发椅	秉绪	—	电动功能躺调节；可按摩可睡觉两用；电竞/懒人沙发场景；USB充电接口；侧边储物袋；一键调节躺姿角度	单人舱设计；猫抓皮面料（浅灰）；支持手动坐躺；承重150kg；适合卧室/电竞房/客厅；尺寸约100×90×100cm	整机质保2年；电机质保3年；上门安装（费用以页面为准）；支持7天无理由退货；质量问题7天内可退、15天内可换	https://item.jd.com/10080752049680.html
智能电动床	喜临门 智能电动床 智慧T1 米家版	喜临门 SLEEMON	约3899	4档预设模式（观影：背50°+腿30°、太空舱：背15°+腿35°、助起：背60°、瑜伽：背40°+腿25°）+2档记忆模式；小爱同学语音切换模式；米家APP定时升降、助起闹钟；双记忆位可保存2组自定义角度；床架可单独使用（无需床头床框），也可内嵌原有床框升级旧床	内置2个德国OKIN电机；升降噪音＜40dB，功耗60W；680斤（约340kg）高承重，可承受3-4人；高硬碳素钢架（外层喷塑防锈）+X型交叉支撑；适配床垫120/150/180×200cm（可定制）；床架外框166×193cm；脚高五档可调16/18.5/21/23.5/26cm，兼容榻榻米/地台/高箱床；无惧20万次弯折测试	框架质保10年；支持7天无理由退货（定制尺寸除外）；质量问题7天内可退、15天内可换	https://post.smzdm.com/p/ardgopzw/pic_6/
智能电动床	京东京造 FAS级红橡木智能电动床 1.8m 升级按摩+撑腰床垫	京东京造	约5222	电动升降调节；按摩功能；配套撑腰床垫；无线遥控器操作；多档升降角度可调；静音电机平稳运行；床头氛围灯	FAS级红橡木床架；1.8m规格；电动床+床垫套装；高承重碳素钢架；适配1.8×2.0m床垫；升降噪音低	框架质保5年；电机质保3年；免费上门安装；支持7天无理由退货（定制尺寸除外）；质量问题7天内可退、15天内可换	https://www.smzdm.com/p/180667255/
智能电动床	京东京造 EasyZzz 电动床 双重按摩+HIFI音响 Max+撑腰床垫套装 1.8×2米	京东京造	约5946	双重按摩功能；HIFI音响；支撑性撑腰床垫；接入米家生态，支持小爱同学语音控制（2.4G Wi-Fi联网，无需网关）	1.8×2.0m套装；同系列采用德国OKIN电机驱动靠背/腿部升降；E0级实木板床板；支持瑜伽/影院/零重力/防打鼾/平躺等场景模式，靠背与腿部角度可分别调节	框架质保5年；电机质保3年；免费上门安装；支持7天无理由退货（定制尺寸除外）；质量问题7天内可退、15天内可换	https://guangdiu.com/detail.php?id=28866530
智能电动床	乐歌 黑曜智能电动床 1.8米 按摩哄睡	乐歌	约5635	按摩功能；哄睡模式；电动升降；床头氛围照明；USB充电口；无线遥控操作；多档记忆角度；床头灯触控调节	1.8米规格；静音电机低噪音；适配标准床垫；金属床架；承重能力强；额定功率约80W	框架质保5年；电机质保3年；免费上门安装；支持7天无理由退货（定制尺寸除外）；质量问题7天内可退、15天内可换	https://price.zol.com.cn/1165/11654559.html
智能电动床	8H 智能电动床 6电机护腰悬浮升降 1.8m MTSD按摩	8H	约8673-11242	6电机配置（背2+腰2+腿2），背/腰/腿三区分区独立调节；独立双腰托，左右腰部电机单独调节、最高抬起10cm，双人使用互不迁就；8大预设模式（举顶牵拉/撑腰/护脊/养护/零重力/一键助眠/智能打鼾干预/温柔唤醒）；MTSD按摩功能；感应灯带（朝地设计防直射，100秒延时熄灯，RGB多色可调）；双记忆位；悬浮设计，床底可进扫地机器人	电机单推力4500N，通过2万次耐久循环测试；升降噪音45dB；平躺静态承重高达1000kg；6脚多点位支撑+15mm加厚生态多层板；1.5m/1.8m两种宽度可选；配套床垫可选22cm双核芯乳胶弹簧床垫/25cm MZ1零度绵床垫/15cm Schcott天然纯乳胶床垫；床脚高度10.5cm隐藏式设计	框架质保5年；电机质保3年；免费上门安装；支持7天无理由退货（定制尺寸除外）；质量问题7天内可退、15天内可换	http://b.guangdiu.com/detail.php?id=28833087
智能床垫	京东京造 EasyZzz AI分区控温智能床垫 1.5×2米	京东京造	约8699	AI分区控温加热；接入米家生态；无线遥控器操作；温度档位可调；独立筒弹簧支撑贴合；三档温度调节	1.5×2.0米规格；智能床垫；厚度26cm；针织面料亲肤透气；独立筒弹簧结构；产地广东东莞	质保10年；免费送货入户；支持7天无理由退货；质量问题7天内可退、15天内可换	https://guangdiu.com/detail.php?id=28898858
智能床垫	慕思 MCW1-127 智能床垫	慕思 DeRUCCI	约9346	左右分区双温区独立控制，夫妻各自独立调节睡眠温度；智能控温芯片精准调节每1℃，温暖睡眠模式25-40℃黄金温感区间；内置智能新风系统（大流量风机），支持暖床、除螨、除湿、烘被四大模式；梅雨季一键烘被；自然风循环透气	1.5×2.0m与1.8×2.0m（2000×1800×260mm）两种规格；厚度26cm；软硬适中；独立筒弹簧+针织面料+耐高温海绵+风暖设备（3D复合材质X-90°结构，6面透气）；无线遥控器操控，支持米家App远程控制；产地广东东莞；不制冷，仅自然风循环降温	质保10年；免费送货入户；支持7天无理由退货；质量问题7天内可退、15天内可换	https://wiki.smzdm.com/p/81nxx9o/
智能床垫	慕思 Smart 智慧弹簧美脊版 1.5m	慕思 DeRUCCI	约4705	1700+支点三区护脊；智慧弹簧支撑系统；电动升降调节；智能睡眠监测；米家生态联动；静音电机	1.5m规格；性价比款；智慧弹簧系统；适配常规床架；床垫厚度约25cm；适配1.5×2.0m床架	质保10年；免费送货入户；支持7天无理由退货；质量问题7天内可退、15天内可换	https://www.sina.cn/news/article/comos_nimequv3918687.html#1
电动升降桌	乐歌 E2 电动升降电脑桌 1.4m 灰胡桃木色	乐歌	约739-843	4档高度记忆+LED屏显示当前高度；一键平稳升降，坐站交替办公；儿童锁；遇阻自动回退（六轴陀螺仪，0.3秒内停止并回降5cm）；支持声控升降	升降范围710-1210mm，适用身高1.6-1.9m；升降速度约25mm/s；最大承重70kg（长期负载建议不超过40kg）；单电机驱动，最大输出功率97W，工作2分钟休息18分钟防烧坏；升降噪音约49-52dB；桌面厚度约1.8cm；桌腿/横梁冷轧钢材质（底座2mm、连接件4mm）；P2级环保饰面，ENF级甲醛释放；整桌重约21kg（小尺寸款）	3年质保；提供上门安装服务；支持7天无理由退货；质量问题7天内可退、15天内可换	https://iguangdiu.com/detail.php?id=22228170
电动升降桌	乐歌 E2 电动升降桌 1.4m 雅白色 直形款	乐歌	约822	4档高度记忆；一键平稳升降；坐站交替；遇阻回退保护；久坐提醒；桌面高度随心调	升降范围710-1210mm；最大承重70kg；单电机；密度板桌面白色哑光漫反射工艺，四角圆弧防磕碰；冷轧钢桌腿；灰胡桃木色桌面	3年质保；支持7天无理由退货；质量问题7天内可退、15天内可换	https://www.smzdm.com/p/180660864/
电动升降桌	乐歌 iE4 智能升降桌 1.2m 钢化玻璃台面	乐歌	约811	智能升降；一键调节；四档高度记忆；遇阻回退保护；久坐提醒；静音电机低噪音	1.2m规格；钢化玻璃台面；最大承重70kg；冷轧钢桌腿；升降范围710-1210mm	质保3年；电机质保5年；提供上门安装服务；支持7天无理由退货；质量问题7天内可退、15天内可换	https://price.zol.com.cn/1073/10730927.html
电动升降桌	乐歌 ES2pro 双电机升降桌 1.2×0.6m	乐歌	约1473	双电机驱动升降更平稳；内置六轴陀螺仪，升降遇阻自动反向回退；智能高度记忆；久坐提醒；桌面高度随心调；坐站交替健康办公	1.2×0.6m台面；双电机配置；冷轧钢桌腿；升降范围710-1210mm；最大承重80kg	质保3年；电机质保5年；提供上门安装服务；支持7天无理由退货；质量问题7天内可退、15天内可换	https://price.zol.com.cn/1169/11690439.html
电动升降桌	乐歌 黑武士电竞桌 电动升降 1.4M 碳纤维纹理	乐歌	约981	电动升降；电竞场景优化；RGB氛围灯带；隐藏式理线槽；一键坐站切换；双电机平稳升降	1.4M桌面；碳纤维纹理面板；京东自营PLUS；最大承重80kg；加粗桌腿稳定；升降范围710-1210mm	质保3年；电机质保5年；提供上门安装服务；支持7天无理由退货；质量问题7天内可退、15天内可换	https://m.fanli.com/index/item/id/19715083
电动升降桌	乐歌 E2 电动升降桌 1.2M 灰胡桃木色	乐歌	约771	4档高度记忆；一键平稳升降；遇阻回退保护；久坐提醒；桌面高度随心调	升降范围710-1210mm；最大承重70kg；单电机；1.2m紧凑尺寸；灰胡桃木色桌面；冷轧钢桌腿	3年质保；支持7天无理由退货；质量问题7天内可退、15天内可换	https://zhekou.manmanbuy.com/Sharedetailed_520450735.aspx#pl
智能晾衣架	米家智能晾衣机2 隐形超薄隐藏式升降	米家	约638-713（活动价，原价999）	遇阻即停、轻托上升多重升降保护；智能记忆升降位置，可自定义晾晒高度；米家App控制+小爱语音+无线遥控器；澎湃智联接入小米智能生态；无级调光	最大承重35kg（70斤）；94个晾晒位（40个开放式防风挂槽+32个旋转母婴夹挂钩位+4根伸缩细杆+2根独立晾被杆）；31英寸柔光灯，密闭灯板防飞虫，照明功率22W；直流电机，升降功率50W，运行平稳低噪音；机身厚度9.1cm超薄，可嵌入吊顶隐藏安装；升降行程1100mm；展开尺寸1184×460×91mm；额定电压220V/50Hz；铝合金材质；2025年首批通过GB/T 4706.123-2024新国标	京东自营	https://www.smzdm.com/p/172364753/
智能晾衣架	米家智能晾衣机3 四分区晾晒 超薄隐形	米家	约990-1399	4分区晾晒设计（平铺晾晒区/小件挂晒区/被罩大件区/日常衣物区）；智能定时；米家App操控+语音控制+遥控器；大范围无级调光	最大承重35kg，满载6000+次升降测试平稳安静；94个晾晒位（38个开放式挂槽位+32个旋转晾衣夹挂位+20个伸缩细杆挂位+2个晾晒网+2根晾被杆）；42英寸曲面大灯板，光通量3000lm，3000K-5700K全域色温亮度多级调节；额定功率86W（升降50W+照明36W）；轻音直流电机；噪声≤55dB(A)；铝合金材质；额定电压220V/50Hz；Wi-Fi连接	京东自营	https://www.ithome.com/0/945/836.htm
智能晾衣架	米家智能晾衣机1S	米家	约664-809	电动升降；米家智能控制；遇阻即停安全保护；LED照明灯夜间清晰；升降位置记忆	电动晾衣架；智能升降；最大承重35kg；升降行程1100mm；铝合金材质防锈耐用	京东自营	https://detail.zol.com.cn/intelligent-clothes-hanger/yichun1/pic.html#1
智能晾衣架	米家智能晾衣机Pro	米家	约791-872	电动升降；米家智能控制；无级调光照明；升降位置记忆；小爱语音控制	电动晾衣架；最大承重35kg；升降行程1100mm；超薄机身可嵌入吊顶	京东自营	https://so.m.jd.com/chanpin/11935383.html
智能晾衣架	米家智能晾衣机2 Pro	米家	约1200-1441	电动升降；智能控制升级款；四分区晾晒空间更大；智能照明；遇阻即停保护	电动晾衣架；最大承重35kg；铝合金材质；超薄隐形设计	京东自营	https://post.smzdm.com/p/am97re5p/
智能窗帘	米家隐藏式智能窗帘 小米智能电动窗帘	米家	约383-528	隐藏式设计；小爱同学语音控制；智能家居联动；定时开合；一键开合；遇阻停止保护	电动窗帘电机+轨道；京东自营好评率98%；适用常见窗型；静音电机	京东自营，包免费上门安装；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://www.smzdm.com/p/180388738/
智能窗帘	米家智能窗帘2	米家	约491-705（首发849）	自定义开合比例、无级调速；米家App设置全开/全关位置、自定义开合行程；支持智能联动	永磁直流电机，运行功耗32.8W，扭矩1.5N·M，额定转速54r/min；移动速度4-16cm/s无级可调；最大驱动力60kg；内置18级磁环+360°霍尔扫描算法精准控制；防护等级IP40；标配3米拼接轨道（最大支持5米，超出部分购买拓展包，拼接码铝合金壁厚1.8mm）；运行噪音≤26dB，多重降噪减震结构；电源线长1.5米；支持插座供电	京东自营	https://post.smzdm.com/talk/p/a3xnde0n/
智能窗帘	米家智能窗帘1S 电动窗帘电机轨道导轨	米家	约599	多种智能开合方式；电机+轨道套装；智能联动；定时开合；无级调速开合速度；遇阻停止保护	电动窗帘电机+轨道导轨；轨道长度可定制；适配米家生态	电机质保2年；免费上门安装；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://zhekou.manmanbuy.com/m/zhekou.aspx?id=530098083
智能窗帘	米家窗帘伴侣 轨道版	米家	约254	即挂即用，无需改造普通窗帘；智能联动；米家App远程控制；定时开合；小爱语音控制	轨道式窗帘伴侣；适配米家窗帘轨道；即挂即用免安装	电机质保2年；即挂即用免安装；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://zhekou.manmanbuy.com/m/zhekou.aspx?id=547477498
智能窗帘	绿米 Aqara 智能窗帘电机A1 套装（电机+3米内直轨+安装）	Aqara	约989	米家远程控制；一键开合；静音导轨；无需网关；智能场景联动；定时开合；开合比例可调	窗帘电机A1+3米内直轨+安装套装；静音电机低噪音；3米内直轨	电机质保2年；免费上门安装；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://m.fanli.com/item/d69263170856#1
智能窗帘	绿米 Aqara B1 智能窗帘 锂电池版	Aqara	约769-929	免布线安装；锂电池供电；米家联动；一键开合；定时场景；低电量提醒	锂电池供电版本；电机+轨道套装；免布线设计	电机质保2年；免费上门安装；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://m.fanli.com/item/d69263170856#1
智能门锁	米家智能门锁青春版	小米 MIJIA	约999	指纹/密码/临时密码/钥匙/手机蓝牙5种开锁方式；三锁舌结构；防撬报警；低电量提醒；虚掩告警	C级锁芯；半导体指纹识别；适用门厚40-120mm；Micro USB应急电源；锌合金面板	整机质保3年；首次免费上门安装；锁体质保3年；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://detail.zol.com.cn/doorbell/suining/pic.html#list_merchant_loc#2
智能门锁	小米智能门锁 XMZNMS04LM	小米	约979	指纹/密码/临时密码/蓝牙/HomeKit/应急钥匙多种开锁方式；全自动锁体自动上锁；防撬报警；低电量提醒	全自动智能门锁；C级锁芯；半导体指纹识别	整机质保3年；首次免费上门安装；锁体质保3年；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://m.suning.com/prdCom/0070541426-11277630630_12432831573_0-0_0-0.html
智能门锁	小米全自动智能门锁Pro	小米	约1358	防劫持/防撬/虚掩/防试开报警；未关门提醒；电池更换提醒；指纹/密码/临时密码/蓝牙/HomeKit多种开锁方式；全自动锁体自动上锁	8节5号电池供电；USB-C应急电源；全自动锁体；适用门厚40-120mm；锌合金面板	整机质保3年；首次免费上门安装；锁体质保3年；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://m.suning.com/prdCom/0070541426-11277630630_0010346179-12435425516_0-0_0-0.html
智能门锁	小米智能门锁M20 大屏猫眼版	小米	约1999	3.97英寸IPS门内显示屏；人脸/指纹/密码/钥匙/临时密码/NFC/蓝牙/小米手环/米兔手表等多种开锁方式；识别速度0.5秒；门前逗留/虚掩/破坏/胁迫指纹报警；门外异常/逗留录像告警；远程查看门外画面；防撬报警	智能门锁+可视猫眼一体；摄像头+猫眼屏一体设计；适用门厚40-120mm	整机质保3年；首次免费上门安装；锁体质保3年；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://m.suning.com/prdCom/0070541426-11277630630_12432831573_0-0_0-0.html
智能门锁	小米智能门锁M30 人脸识别款	小米	约2099-2999	AI 3D结构光人脸识别+3D活体防伪检测；拒真率＜2%，误识别率＜0.0001%；人脸识别身高覆盖1.2-2m，推荐识别距离0.4-0.8m；10余种开锁方式（人脸/指纹/密码/钥匙/刷卡/NFC/临时密码/APP/蓝牙）；门内高清大屏可视对讲；AI双摄全景猫眼（顶部300万像素175°广角+底部200万像素105°广角，微光全彩夜视）；米家APP/小米澎湃智联，可联动小米电视/小爱音箱/车机	型号XMZNMS15OD；5000mAh可充电锂电池×2+4节5号碱性干电池，锂电池供猫眼/大屏约3个月、干电池供锁体约6个月；Type-C应急供电+手机无线反向充电；C级直插式锁芯，产品安全级别B级（GA 374-2019）；蓝牙5.3/NFC/Wi-Fi 2.4GHz；最大指纹50枚/密码75组/虚位密码20位；前面板430×93×46mm、后面板420×93×46mm；适配门厚40-120mm；净重约5.05kg；铝合金面板磨砂+玻璃面板；工作温度-10~55℃	整机质保3年；首次免费上门安装；锁体质保3年；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://www.mi.com/mi-doorlocks/m30-face-id
智能门锁	小米智能门锁M30 掌静脉版	小米	约1899-2999	掌静脉识别开锁，湿手/脏手可识别；全自动锁体；智能告警；多种开锁方式冗余；防撬报警；虚掩提醒	与M30人脸识别版同模具，外观尺寸与供电配置一致；掌静脉+指纹+密码等多种开锁方式；适用门厚40-120mm；铝合金面板	整机质保3年；首次免费上门安装；锁体质保3年；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://detail.zol.com.cn/2113/2112087/param.shtml
智能门锁	小米智能门锁E30	小米	约699	指纹/密码/钥匙/刷卡/APP多种开锁方式；集成智能门铃；防撬报警；低电量提醒；虚掩告警	直插式C级锁芯贯穿锁体结构；尺寸367×76×23mm；重约3.3kg；铝合金执手；适配门厚40-120mm；8节碱性电池供电；半导体指纹识别；锌合金面板	质保3年；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://m.suning.com/itemcanshu/0010359406/12445463316.html
智能门锁	小米智能门锁2 指静脉版	小米	约1099	指静脉识别（湿手/脏手可用）+指纹/密码/钥匙/刷卡/APP/NFC/临时密码/蓝牙等多种开锁方式；蓝牙/Wi-Fi双模式连接，Wi-Fi连接无需网关；虚位密码；米家安全芯片通讯加密；外面板被撬/门未关/门虚掩/低电量/胁迫指纹/防多次试错等多重告警	尺寸399×76×24mm；重约4.55kg；适配门厚4-12cm；Type-C应急供电接口；C级锁芯	质保3年；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://g.pconline.com.cn/product/doorbell/pk_2215599_2413559.html
智能门锁	鹿客 x1 智能门锁	鹿客 LOOCK	约699	APP/指纹/钥匙/密码多种开锁方式；防撬报警；低电量提醒；虚掩告警	三锁舌结构；锌合金执手；尺寸353×78×30mm；重6kg；适配门厚4-12cm；半导体指纹识别	质保2年；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://m.suning.com/prdCom/0070541426-11277630630_12432831573_0-0_0-0.html
智能门锁	鹿客 T1 pro 智能门锁	鹿客 LOOCK	约1499	指纹/密码/钥匙/手机蓝牙/实体蓝牙钥匙多种开锁方式；低电报警/撬动报警/连续错误锁定报警；半导体活体指纹；虚掩提醒；防撬报警；未关门告警	标准/霸王/王力锁体兼容；锌合金面板；半导体指纹识别	整机质保3年；首次免费上门安装；锁体质保3年；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://m.suning.com/prdCom/0070541426-11277630630_0010346179-12435425516_0-0_0-0.html
智能门锁	鹿客 S50F 智能门锁	鹿客 LOOCK	约2799	人脸识别开锁（商汤3.0技术）；超声波雷达传感+双重感应开锁；指纹/密码/NFC卡/手机APP/机械钥匙/临时密码多种方式；防撬报警；低电量提醒；虚掩告警	铝合金面板；适用门厚40-120mm；半导体指纹识别；C级锁芯	整机质保3年；首次免费上门安装；锁体质保3年；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://m.suning.com/prdCom/0070541426-11277630630_0010346179-12435425516_0-0_0-0.html
智能门锁	鹿客 V3 Max 智能门锁	鹿客 LOOCK	约2799-3572	红外光隔空闪充技术，4米距离内远程无线充电（非同轴多光束合成+最大功率点智能算法，实用新型专利ZL202323360024.1），充10分钟撑3天；12种解锁方式（掌脉/3D人脸/密码/一次性密码/周期性密码/机械钥匙/APP蓝牙/视频对讲/小度远程/NFC卡片/蓝牙遥控器/小天才手表）；AI识别：意图理解/智能接待/访客视频留言/包裹看护（可区分猫与人的动作）/智能搜索/语音录入/出门提醒/回家问候；语音交互无需唤醒词	双摄组合：3MP 160°上摄+2MP 128°下摄；室内5英寸屏（600×854）；内置5000mAh锂电池（7.4V），可选配2500mAh电池；掌脉容量50组/人脸50组/密码50组/门卡25组/蓝牙钥匙25组；蓝牙5.0+Wi-Fi 802.11b/g/n/ax 2.4GHz；前面板420×76.4×53mm；使用环境温度-20~55℃	整机质保3年；首次免费上门安装；锁体质保3年；支持7天无理由退货（已安装影响二次销售除外）；质量问题7天内可退、15天内可换	https://www.ithome.com/0/950/909.htm
智能床头柜	8H 趣睡 G1 智能床头柜	8H	约1427-1899（众筹1199起）	顶部15W无线充电模块（Qi协议，兼容手机/TWS耳机/智能手表）；18W USB接口×2（USB-C+USB-A），有线无线同时充3台设备；屏下指纹+密码解锁防尘抽屉（保险柜），虚位密码最高20位，频繁开锁失败/抽屉被撬自动报警；背部充电宝紧急供电口，断电可应急供电；内置蓝牙5.0音箱，双柜可组TWS立体声；柜体下方人体+光感感应灯带（45°朝地防直射，最长亮100秒，亮度色温米家App无极调节）；隐藏式电源插座（最大2400W，过压保护+异物识别）；米家App可查看保险柜状态/录入指纹/调节灯光	一体成型外壳+防腐防锈碳钢框架，静态承重＞80kg；通过ENF级甲醛检测标准；储物空间约16L；保险柜抽屉38.3×29.2×14.3cm；上层开放置物格高约10.3cm（玻璃面板）；极夜黑/极昼白双色；接入米家2.4G Wi-Fi，无需网关；圆润弧角防磕碰设计	质保1年；支持7天无理由退货；质量问题7天内可退、15天内可换	https://post.smzdm.com/p/a0zgz4e8/
智能床头柜	艾格辰 实木床头柜带锁智能收纳	艾格辰	约312	实木材质；带锁智能收纳；抽屉缓冲滑轨静音开合；圆角设计安全防磕碰；储物分区	实木床头柜；好评率100%；环保油漆工艺；静音滑轨；尺寸约45×40×55cm	质保1年；支持7天无理由退货；质量问题7天内可退、15天内可换	https://www.smzdm.com/p/180747009/
